foreword_1,你從睡夢中醒來，發現自己躺在一片荒野\你不知道自己為何在這裡，你試著回想\但......腦中卻一片空白。\
go_1,沙漠遼闊無邊，你走了一圈又回到原點。\拖著疲累的身子，你體力不支的倒下了\......\休息片刻後，仍然覺得疲勞的你，查看了自己的狀態。\
go_2,你走走停停，感覺自己口乾舌燥。\前面出現了一具冒險者的骨架，\看上去被禿鷲啃食得十分乾淨。\你想上前去翻找遺物嗎？ (y/n)\
go_3,你不小心踩到了一坨黏呼呼的液體，不到片刻那陀液體逐漸凝聚在一起，看來你打擾到了某隻沙漠史萊姆的休眠。\
go_4,你在這片沙漠走了好一陣子，經過漫無目的的遊走後你不僅喪失了水份，還有時間概念。\烈日當空，無情的陽光不斷蒸發著你的活力，你現在又餓又累又渴。\不知過了多久，你倒下了。\
stay_1,你待在原地，但甚麼都沒有發生。烈日看上去沒有絲毫動彈的跡象，彷彿要將你烤乾。\這麼待著可能不是一個好選擇。\
stay_2,「早安」\可疑的商人向你走來並問候道，他展示了一些看上去完好的裝備。\是否購買？ (y/n)\
stay_3,在原地待著不是一個好選擇\即便目光可及之處沒有任何遮蔽物，但你還是覺得有生物......或是東西在盯著自己看。\
stay_4,你待在原地甚麼也不做，隱隱約約看到有一隻哥布林朝著你衝了過來，拿起武器應戰吧！ (進入戰鬥)\
relive_1,......\............\你感受到有一群人正用著你聽不懂的語言在你周遭對話。\他們抱起了你，並往你的口中倒了一點水。\你的舌頭猶如久旱逢甘霖般舒暢，那點水不僅僅滋潤了你的口腔，彷彿也滲透到你的渾身上下，你活過來了。\
relive_2,......\當你再次睜開眼時，發現自己的傷口被包紮，身體也無大礙...\你被路過的旅人所救，但他要求支付相對的金額。\
